Age,Sex,FirstName,LastName,HeightInches,WeightPounds,WakeupTime,SleepTime
18,Male,Sarah,Johnson,92,289,12,20
18,Female,Jennifer,Williams,77,116,11,22
52,Male,Thomas,Miller,88,193,5,28
52,Male,Thomas,Miller,88,193,11,26
28,Female,Michael,Johnson,80,132,10,20
82,Female,Patricia,Johnson,95,132,13,23
25,Female,John,Brown,87,152,7,26
36,Female,William,Smith,90,121,8,22
22,Female,James,Garcia,91,233,13,27
28,Female,Michael,Johnson,80,132,8,20
18,Male,Sarah,Johnson,92,289,7,20
25,Female,John,Brown,87,152,11,20
22,Female,James,Garcia,91,233,9,28
18,Male,Sarah,Johnson,92,289,14,21
22,Female,James,Garcia,91,233,13,25
96,Female,Karen,Smith,94,196,8,22
18,Female,Jennifer,Williams,77,116,7,21
18,Female,Jennifer,Williams,77,116,8,25
22,Female,James,Garcia,91,233,13,26
27,Female,Linda,Garcia,77,206,5,21
96,Female,Karen,Smith,94,196,5,25
70,Female,Jessica,Jones,65,193,6,27
63,Male,David,Miller,79,203,14,27
18,Male,Joseph,Williams,72,258,5,26
96,Female,Karen,Smith,94,196,12,24
36,Female,William,Smith,90,121,13,20
18,Male,Sarah,Johnson,92,289,6,26
25,Female,John,Brown,87,152,14,28
52,Male,Thomas,Miller,88,193,8,22
27,Female,Linda,Garcia,77,206,13,27
35,Male,Susan,Garcia,66,134,11,21
63,Female,Mary,Williams,76,119,7,21
20,Male,Elizabeth,Rodriguez,86,183,13,26
71,Female,Daniel,Brown,89,226,11,23
63,Male,David,Miller,79,203,13,27
18,Male,Joseph,Williams,72,258,11,21
36,Female,William,Smith,90,121,5,23
63,Female,Mary,Williams,76,119,8,24
82,Female,Patricia,Johnson,95,132,9,26
63,Male,David,Miller,79,203,8,24
35,Male,Susan,Garcia,66,134,11,24
18,Male,Sarah,Johnson,92,289,12,23
66,Male,Robert,Brown,91,292,8,27
18,Male,Joseph,Williams,72,258,14,21
22,Female,James,Garcia,91,233,13,21
28,Female,Michael,Johnson,80,132,11,28
22,Female,James,Garcia,91,233,6,20
80,Female,Charles,Rodriguez,73,221,13,20
20,Male,Elizabeth,Rodriguez,86,183,14,27
18,Female,Jennifer,Williams,77,116,5,20
80,Female,Charles,Rodriguez,73,221,11,27
18,Female,Jennifer,Williams,77,116,7,25
28,Female,Michael,Johnson,80,132,6,23
82,Female,Patricia,Johnson,95,132,6,21
71,Female,Daniel,Brown,89,226,11,27
18,Male,Sarah,Johnson,92,289,7,25
25,Female,John,Brown,87,152,6,27
82,Female,Patricia,Johnson,95,132,14,25
27,Female,Linda,Garcia,77,206,9,21
27,Female,Linda,Garcia,77,206,7,26
25,Female,John,Brown,87,152,13,23
52,Male,Thomas,Miller,88,193,5,26
63,Female,Mary,Williams,76,119,8,28
36,Female,William,Smith,90,121,13,22
36,Female,William,Smith,90,121,5,20
63,Female,Mary,Williams,76,119,7,26
18,Female,Jennifer,Williams,77,116,10,22
32,Female,Nancy,Garcia,60,152,14,23
36,Female,William,Smith,90,121,13,27
63,Male,David,Miller,79,203,5,20
63,Female,Mary,Williams,76,119,11,27
80,Female,Charles,Rodriguez,73,221,10,23
52,Male,Thomas,Miller,88,193,7,27
35,Male,Susan,Garcia,66,134,7,28
63,Female,Mary,Williams,76,119,12,24
20,Male,Elizabeth,Rodriguez,86,183,5,28
70,Female,Jessica,Jones,65,193,5,20
80,Female,Charles,Rodriguez,73,221,9,23
52,Male,Thomas,Miller,88,193,6,27
52,Male,Thomas,Miller,88,193,7,23
